Period,IsPeakHour,Sessions,TotalDemand,AverageDemand,AverageDuration,UniqueUsers,ActiveChargers
Non-Peak Hour,False,45722,739275.15,16.17,132.72,1961,2024
Peak Hour,True,27104,530836.95,19.59,182.44,1579,1552
